Розділ,№,Де відкрити,Що зробити,Що маєш побачити,Вийшло?,Якщо ні — коротко що сталось
11. Картка продукту,185,Картка знайденого продукту,Відкрий з штрихкоду/фото.,"Фото, назва, оцінка, склад (білки, жири, вуглеводи), інгредієнти (якщо є)",,
11. Картка продукту,186,Картка знайденого продукту,Натисни інфо по оцінка.,Вікно з повідомленням з поясненням,,
11. Картка продукту,187,Картка знайденого продукту,Поділитися.,Системний share вікно знизу,,
11. Картка продукту,188,Картка знайденого продукту,«Додати».,Екран «додати в щоденник» запис,,
11. Картка продукту,189,Картка знайденого продукту,Якщо є підказка.,Альтернатива йде в екран «додати в щоденник»,,
11. Картка продукту,190,Картка знайденого продукту,Продукт без альтернативи.,Блок підказка схований,,
11. Картка продукту,191,Картка знайденого продукту,Зроби так: Немає інгредієнтів.,Секція ingredients схована,,
11. Картка продукту,192,Картка знайденого продукту,«Назад».,Попередній екран (камера/пошук),,
11. Екран «додати в щоденник»,193,Екран додавання в щоденник (після продукту),Відкрити.,"Порції 1, прийом можна змінити, дата сьогодні",,
11. Екран «додати в щоденник»,194,Екран додавання в щоденник (після продукту),Сніданок / Обід / Перекуси / Вечеря.,"Вибраний чіп, лог у цей прийом",,
11. Екран «додати в щоденник»,195,Екран додавання в щоденник (після продукту),Натискай +.,"1 потім 2 потім … склад (білки, жири, вуглеводи) множаться",,
11. Екран «додати в щоденник»,196,Екран додавання в щоденник (після продукту),На 1 натисни −.,Не йде нижче 1,,
11. Екран «додати в щоденник»,197,Екран додавання в щоденник (після продукту),Дотиснути до 99.,Стоп на 99,,
11. Екран «додати в щоденник»,198,Екран додавання в щоденник (після продукту),Зміни грами.,Ккал перераховуються,,
11. Екран «додати в щоденник»,199,Екран додавання в щоденник (після продукту),Якщо продукт у мл.,Парситься мл,,
11. Екран «додати в щоденник»,200,Екран додавання в щоденник (після продукту),«випадкові літери».,Відкат до попередньої,,
11. Екран «додати в щоденник»,201,Екран додавання в щоденник (після продукту),Зміни дата потім вчора потім Вибрати.,Значок дати оновився; запис у вчора (на Головній сьогодні його не буде),,
11. Екран «додати в щоденник»,202,Екран додавання в щоденник (після продукту),Завтра.,Дата приймається (барабан з цифрами без min/max),,
11. Екран «додати в щоденник»,203,Екран додавання в щоденник (після продукту),«Закрити» без Вибрати.,Дата не змінена,,
11. Екран «додати в щоденник»,204,Екран додавання в щоденник (після продукту),Зміни рядок інгредієнта.,Оновлюється,,
11. Екран «додати в щоденник»,205,Екран додавання в щоденник (після продукту),Стерти рядок.,Інгредієнт видаляється,,
11. Екран «додати в щоденник»,206,Екран додавання в щоденник (після продукту),«Додати».,Вікно з повідомленням «додано до цього прийому» потім OK потім Головна,,
11. Екран «додати в щоденник»,207,Екран додавання в щоденник (після продукту),(якщо є).,"Вікно з повідомленням з текстом, не тихий не спрацює",,
11. Екран «додати в щоденник»,208,Екран додавання в щоденник (після продукту),«Назад».,Нічого не залогувалось,,
12. Олівець біля сніданку / обіду,209,Головна → олівець біля прийому,Олівець на прийомі з 2+ позиціями.,"Список, порції, AI-поле, куди писати, «Зберегти», «Закрити», +",,
12. Олівець біля сніданку / обіду,210,Головна → олівець біля прийому,Олівець на порожньому.,"Картка «їжу записано» схована, поле, куди писати є",,
12. Олівець біля сніданку / обіду,211,Головна → олівець біля прийому,Зміни г і закрити клавіатуру.,Головна після «Зберегти» показує нові ккал,,
12. Олівець біля сніданку / обіду,212,Головна → олівець біля прийому,Видали на рядку.,"Рядок зникає, сума ккал Головна зменшилась",,
12. Олівець біля сніданку / обіду,213,Головна → олівець біля прийому,Видали всі.,"Картка «їжу записано» ховається, Головна порожній прийом",,
12. Олівець біля сніданку / обіду,214,Головна → олівець біля прийому,+ потім «Пошук» потім продукт.,Зʼявляється в цьому прийомі,,
12. Олівець біля сніданку / обіду,215,Головна → олівець біля прийому,Зміни порцію потім «Закрити».,"Перевірити, що збережене (персиститься до «Зберегти») — поведінка має бути передбачувана, без «привиду»",,
12. Олівець біля сніданку / обіду,216,Головна → олівець біля прийому,«замінити курка with turkey» потім «Надіслати».,"Сканувальна анімація, позиція оновлюється",,
12. Олівець біля сніданку / обіду,217,Головна → олівець біля прийому,Плюс потім галерея потім фото потім «Надіслати».,Аналіз/заміна проходить,,
12. Олівець біля сніданку / обіду,218,Головна → олівець біля прийому,"Мікрофон у поле, куди писатиі.",Транскрипт у полі,,
12. Олівець біля сніданку / обіду,219,Головна → олівець біля прийому,Без інтернету «Надіслати».,Додаток не вилетів; (зараз може не бути спливаючого напису — нотувати),,
12. Олівець біля сніданку / обіду,220,Головна → олівець біля прийому,Під час AI надіслати.,"Лінія по цільових рядках, плавно зникає по краях, loop 1.5 с",,
12. Олівець біля сніданку / обіду,221,Головна → олівець біля прийому,"Фокус у поле, куди писатиі.","Текст внизу піднімається, список не перекритий",,
12. Олівець біля сніданку / обіду,222,Головна → олівець біля прийому,Свайп вікна знизу вниз.,Закривається,,
13. Помічник Bity AI — перший екран,223,Нижня кнопка «Bity AI» (вперше),Новий юзер / після реінсталу.,"Перший екран помічника: превʼю чату, 4 capability, CTA",,
13. Помічник Bity AI — перший екран,224,Нижня кнопка «Bity AI» (вперше),"Подивись, що на екрані.","Chat, пам’ять, recipes, insights",,
13. Помічник Bity AI — перший екран,225,Нижня кнопка «Bity AI» (вперше),«Почнімо».,"Чат, перший екран помічника більше не показується",,
13. Помічник Bity AI — перший екран,226,Нижня кнопка «Bity AI» (вперше),«Почнімо» потім інший вкладка потім AI.,Чат,,
13. Помічник Bity AI — листування,227,Чат Bity AI,Порожня історія.,Вітальне повідомлення асистента,,
13. Помічник Bity AI — листування,228,Чат Bity AI,Напиши питання потім «Надіслати».,Користувач хмарка повідомлення + відповідь,,
13. Помічник Bity AI — листування,229,Чат Bity AI,Порожнє поле.,«Надіслати» неактивний / ігнор,,
13. Помічник Bity AI — листування,230,Чат Bity AI,Тап.,"Відправляється промпт, відповідь про склад (білки, жири, вуглеводи)",,
13. Помічник Bity AI — листування,231,Чат Bity AI,Тап.,Відповідь про прийоми,,
13. Помічник Bity AI — листування,232,Чат Bity AI,Тап.,Пропозиції замін,,
13. Помічник Bity AI — листування,233,Чат Bity AI,Мікрофон потім мова.,Текст у полі (ще не обовʼязково автоsend),,
13. Помічник Bity AI — листування,234,Чат Bity AI,Плюс.,Меню Камера / галерея / Файли,,
13. Помічник Bity AI — листування,235,Чат Bity AI,Камера потім фото.,"Повідомлення з фото, відповідь",,
13. Помічник Bity AI — листування,236,Чат Bity AI,Якщо це не справжній телефон — пропусти цей рядок без камери.,Вікно з повідомленням камера недоступна,,
13. Помічник Bity AI — листування,237,Чат Bity AI,Галерея.,Фото в чаті,,
13. Помічник Bity AI — листування,238,Чат Bity AI,Файли потім картинка.,Приймає фото,,
13. Помічник Bity AI — листування,239,Чат Bity AI,Файл PDF.,"Помилка повідомлення, що це не фото",,
13. Помічник Bity AI — листування,240,Чат Bity AI,Натисни поза меню / закрити кнопка.,Меню закрилось,,
13. Помічник Bity AI — листування,241,Чат Bity AI,Попросити запиши їжу і підтвердити.,"Картка в чаті, їжа на Головній",,
13. Помічник Bity AI — листування,242,Чат Bity AI,«скасувати запис» на картці на картці.,Запис зникає з Головна,,
13. Помічник Bity AI — листування,243,Чат Bity AI,«Застосувати» на заміна страви.,"Їжа замінена, очки нагород заміна страви можливий",,
13. Помічник Bity AI — листування,244,Чат Bity AI,«ще варіанти».,Додаткові опції / навігація додаток не вилетів,,
13. Помічник Bity AI — листування,245,Чат Bity AI,Якщо прийшла картка рецепта.,Лог у щоденник,,
13. Помічник Bity AI — листування,246,Чат Bity AI,Попросити додати воду.,Вікно з повідомленням «Підтвердити»/«Скасувати»; «Підтвердити» потім вода на Головній,,
13. Помічник Bity AI — листування,247,Чат Bity AI,«Скасувати».,Вода не додалась,,
13. Помічник Bity AI — листування,248,Чат Bity AI,Режим польоту (без інтернету) потім «Надіслати».,"Система повідомлення / не спрацюєed, поле, куди писати знову доступний",,
13. Помічник Bity AI — листування,249,Чат Bity AI,Друкувати.,"Чат скролиться над поле, куди писатиом",,
13. Помічник Bity AI — листування,250,Чат Bity AI,20+ повідомлень.,"Скрол до низу, гальмування картинки ок",,
13. Помічник Bity AI — листування,251,Чат Bity AI,Історія.,Екран історії,,
13. Помічник Bity AI — листування,252,Чат Bity AI,Якщо є «Назад».,Не ламає таб,,
13. Помічник Bity AI — історія,253,Чат Bity AI → кнопка історії,Відкрий історія після кількох чатів.,"Секції, рядки",,
13. Помічник Bity AI — історія,254,Чат Bity AI → кнопка історії,Ввести слово з минулого чату.,Фільтр рядків,,
13. Помічник Bity AI — історія,255,Чат Bity AI → кнопка історії,Перемикати.,Список фільтрується,,
13. Помічник Bity AI — історія,256,Чат Bity AI → кнопка історії,Мікрофон.,Текст у полі,,
13. Помічник Bity AI — історія,257,Чат Bity AI → кнопка історії,Очистити.,Повний список,,
13. Помічник Bity AI — історія,258,Чат Bity AI → кнопка історії,Натисни рядка.,Повернення в чат із цією сесією,,
13. Помічник Bity AI — історія,259,Чат Bity AI → кнопка історії,«Очистити все».,Історія порожня; чат на табі скидається до welcome,,
13. Помічник Bity AI — історія,260,Чат Bity AI → кнопка історії,«Назад».,Чат,,
14. Вкладка Прогрес,261,Нижня кнопка «Прогрес»,Відкрий Прогрес.,"Title, subtitle (стрік/саммарі), 3 кнопки",,
14. Вкладка Прогрес,262,Нижня кнопка «Прогрес»,Подивись екран.,Так і має бути: цього екрана / кнопки немає чартів і превʼю фото,,
14. Записати вагу,263,Прогрес → записати вагу,«Записати вагу».,"Поле, слайдер, kg/lb, дата, «Зберегти»",,
14. Записати вагу,264,Прогрес → записати вагу,Порухати слайдер.,Число в полі збігається,,
14. Записати вагу,265,Прогрес → записати вагу,Ввести 72.5.,Слайдер підтягнувся,,
14. Записати вагу,266,Прогрес → записати вагу,Кнопка зверху: lb.,"Конвертація, межі 66–440",,
14. Записати вагу,267,Прогрес → записати вагу,Спробувати 10 kg / 250 kg.,Клампається до 30–200 kg,,
14. Записати вагу,268,Прогрес → записати вагу,Вчора потім «Зберегти».,Зберігається на ту дату (історії на екрані немає — перевірити відсутність помилки),,
14. Записати вагу,269,Прогрес → записати вагу,«Зберегти».,Повернення назад на Прогрес,,
14. Записати вагу,270,Прогрес → записати вагу,«Назад».,Вага не записалась,,
14. Записати вагу,271,Прогрес → записати вагу,(якщо є).,Вікно з повідомленням,,
14. Записати вагу,272,Прогрес → записати вагу,Зберегти ще раз.,Не додаток вилетів (два записи або оновлення — нотувати фактичну поведінку),,
14. Записати тренування,273,Прогрес → записати тренування,«Записати тренування».,"Типи, імʼя, дата, тривалість, калорії, «Зберегти»",,
14. Записати тренування,274,Прогрес → записати тренування,Натисни всі 6.,"Імʼя підставляється, чіп вибраний",,
14. Записати тренування,275,Прогрес → записати тренування,Перейменувати.,Зберігається кастомна назва,,
14. Записати тренування,276,Прогрес → записати тренування,Постав 5 хв і 90 хв.,"Мін 1 хв, значення зберігається",,
14. Записати тренування,277,Прогрес → записати тренування,Не вводити ккал потім «Зберегти».,"0 ккал, додаток не вилетів",,
14. Записати тренування,278,Прогрес → записати тренування,250 потім «Зберегти».,Головна спалені калорії зріс на ~250,,
14. Записати тренування,279,Прогрес → записати тренування,Інша дата потім «Зберегти».,Успіх,,
14. Записати тренування,280,Прогрес → записати тренування,«Назад».,Не збережено,,
14. Записати тренування,281,Прогрес → записати тренування,Фокус калорії / тривалість.,Скрол не ховає «Зберегти»,,
14. Фото фігури,282,Прогрес → фото фігури,Відкрити.,"«1/2 спереду», кнопка зйомки, галерея, ліхтарик, close",,
14. Фото фігури,283,Прогрес → фото фігури,Зняти.,Перехід на збоку 2/2,,
14. Фото фігури,284,Прогрес → фото фігури,Галерея.,Теж на збоку,,
14. Фото фігури,285,Прогрес → фото фігури,Зняти збоку.,"Закриває ланцюжок екранів, Прогрес знову",,
14. Фото фігури,286,Прогрес → фото фігури,«Закрити».,Нічого не збережено (або лише нічого видимого),,
14. Фото фігури,287,Прогрес → фото фігури,Після спереду потім «Закрити».,Спереду уже збережене; збоку немає — нотувати,,
14. Фото фігури,288,Прогрес → фото фігури,Увімкнено / вимкнено.,Працює,,
14. Фото фігури,289,Прогрес → фото фігури,Відхилити.,"Вікно з повідомленням, не додаток вилетів",,
14. Фото фігури,290,Прогрес → фото фігури,Якщо це не справжній телефон — пропусти цей рядок.,Вікно з повідомленням помилки,,
15. Нагороди і значки,291,Нижня кнопка «Нагороди»,Відкрий Нагороди.,"Картка рівня (очки нагород, прогрес) + 12 значків",,
15. Нагороди і значки,292,Нижня кнопка «Нагороди»,Новий юзер.,Бейджі з 0 виглядають locked,,
15. Нагороди і значки,293,Нижня кнопка «Нагороди»,Натисни значка.,"Деталь: прогрес скільки вже є / скільки треба, без конфеті відкриття значка",,
15. Нагороди і значки,294,Нижня кнопка «Нагороди»,Поділитися.,Поділитися вікно знизу,,
15. Нагороди і значки,295,Нижня кнопка «Нагороди»,Кнопки на деталі.,Назад до списку / закриття,,
15. Нагороди і значки,296,Нижня кнопка «Нагороди»,Запиши 1 продукт.,+10 очки нагород на картці рівня,,
15. Нагороди і значки,297,Нижня кнопка «Нагороди»,+ склянка.,+5 очки нагород,,
15. Нагороди і значки,298,Нижня кнопка «Нагороди»,«Зберегти» вагу.,+15 очки нагород,,
15. Нагороди і значки,299,Нижня кнопка «Нагороди»,«Зберегти» тренування.,+10 очки нагород,,
15. Нагороди і значки,300,Нижня кнопка «Нагороди»,Завершити спереду+збоку.,"+25 за збереження (перевірити, чи раз чи двічі — нотувати)",,
15. Нагороди і значки,301,Нижня кнопка «Нагороди»,Набрати ≥100 очки нагород.,"Назва рівня Explorer, прогрес-бар",,
15. Нагороди і значки,302,Нижня кнопка «Нагороди»,Виконати умову значка.,"Повноекранна деталь з конфеті, черга якщо кілька",,
15. Нагороди і значки,303,Нижня кнопка «Нагороди»,Два анлоки підряд.,Другий після закриття першого,,
15. Нагороди і значки,304,Нижня кнопка «Нагороди»,"Лог з Головна, сидіти на Прогрес.",Вікно поверх екрана поверх,,
15. Нагороди і значки,305,Нижня кнопка «Нагороди»,7 днів поспіль з будь-яким логом їжі.,7 днів запису або зміна дати пристрою + логи,,
15. Нагороди і значки,306,Нижня кнопка «Нагороди»,7 днів поспіль вода ≥ денної цілі.,Долити до цілі 7 днів,,
15. Нагороди і значки,307,Нижня кнопка «Нагороди»,3 тижні поспіль із записом ваги.,Вага в 3 різних тижнях,,
15. Нагороди і значки,308,Нижня кнопка «Нагороди»,5 днів збалансовано macros.,"Дні, коли оцінка має badge збалансовано",,
15. Нагороди і значки,309,Нижня кнопка «Нагороди»,7 днів клітковина ≥ цілі.,Їжа з клітковиною до цілі,,
15. Нагороди і значки,310,Нижня кнопка «Нагороди»,2 вихідні підряд з їжею або тренування.,Сб/Нд логи,,
15. Нагороди і значки,311,Нижня кнопка «Нагороди»,3 дні білок ≥ цілі.,Екран виглядає нормально. Додаток не вилетів і не зависає.,,
15. Нагороди і значки,312,Нижня кнопка «Нагороди»,5 днів їжа з година < 9.,Запиши вранці,,
15. Нагороди і значки,313,Нижня кнопка «Нагороди»,7 днів зі заміна страви.,Заміни через AI/картка заміни стравиу,,
15. Нагороди і значки,314,Нижня кнопка «Нагороди»,7 днів прогрес фото.,Екран виглядає нормально. Додаток не вилетів і не зависає.,,
15. Нагороди і значки,315,Нижня кнопка «Нагороди»,3 дні вся їжа до 21:00.,Не логувати після 21,,
15. Нагороди і значки,316,Нижня кнопка «Нагороди»,7 днів ≥3 різних назв продуктів за день.,Екран виглядає нормально. Додаток не вилетів і не зависає.,,
15. Нагороди і значки,317,Нижня кнопка «Нагороди»,Логи їжі кілька днів.,Subtitle показує стрік,,
15. Нагороди і значки,318,Нижня кнопка «Нагороди»,Пропустити день запису їжі.,Current серія днів скидається,,
16. Вкладка Рецепти,319,Нижня кнопка «Рецепти»,Відкрий Рецепти.,"Фон першого налаштування, великий заголовок вкладки, немає пошуку рецептів",,
16. Вкладка Рецепти,320,Нижня кнопка «Рецепти»,Зайти/вийти 5 разів.,Стабільно,,
16. Вкладка Рецепти,321,Нижня кнопка «Рецепти»,Шукати список/AI generate/saved.,Так і має бути: цього екрана / кнопки немає у табі,,
17. Дозволи телефону і нагадування,322,"Телефон: Налаштування → цей додаток, або перший запит дозволу",Перший штрихкод/фото.,"Текст текст дозволу англійська мова телефону або українська мова телефону, не за замовчуванням Apple",,
17. Дозволи телефону і нагадування,323,"Телефон: Налаштування → цей додаток, або перший запит дозволу",Перший голос.,Локалізований текст дозволу,,
17. Дозволи телефону і нагадування,324,"Телефон: Налаштування → цей додаток, або перший запит дозволу",Якщо система питає.,Локалізований текст дозволу,,
17. Дозволи телефону і нагадування,325,"Телефон: Налаштування → цей додаток, або перший запит дозволу",Перше налаштування «Далі».,Поділитися + update текст дозволу,,
17. Дозволи телефону і нагадування,326,"Телефон: Налаштування → цей додаток, або перший запит дозволу","Перший вхід на вкладки внизу,.notDetermined.",Системний запит нотифікацій,,
17. Дозволи телефону і нагадування,327,"Телефон: Налаштування → цей додаток, або перший запит дозволу",Дозволити.,Немає спаму промптами,,
17. Дозволи телефону і нагадування,328,"Телефон: Налаштування → цей додаток, або перший запит дозволу",Не дозволяти.,Додаток жива; нагадування не приходять,,
17. Дозволи телефону і нагадування,329,"Телефон: Налаштування → цей додаток, або перший запит дозволу","Дозволити, зачекати 08:00 (або змінити час пристрою).",Локальна нотифікація сніданок,,
17. Дозволи телефону і нагадування,330,"Телефон: Налаштування → цей додаток, або перший запит дозволу",Зроби так: Обід 13:00.,Нотифікація,,
17. Дозволи телефону і нагадування,331,"Телефон: Налаштування → цей додаток, або перший запит дозволу",Зроби так: Вечеря 19:00.,Нотифікація,,
17. Дозволи телефону і нагадування,332,"Телефон: Налаштування → цей додаток, або перший запит дозволу",Зроби так: Вода 10:30 / 15:00 / 18:30.,Три водні слоти,,
17. Дозволи телефону і нагадування,333,"Телефон: Налаштування → цей додаток, або перший запит дозволу",Зроби так: Weight 07:30.,Нотифікація ваги,,
17. Дозволи телефону і нагадування,334,"Телефон: Налаштування → цей додаток, або перший запит дозволу",Зроби так: Streak 21:00.,Нотифікація стріка,,
17. Дозволи телефону і нагадування,335,"Телефон: Налаштування → цей додаток, або перший запит дозволу",Запиши воду/їжу/вагу/тренування на девайсі з Здоров’я.,Зʼявляється в Apple Здоров’я відповідна категорія,,
17. Дозволи телефону і нагадування,336,"Телефон: Налаштування → цей додаток, або перший запит дозволу",Перше налаштування «Можливо пізніше» / Відхилити.,Додаток працює локально,,
17. Дозволи телефону і нагадування,337,"Телефон: Налаштування → цей додаток, або перший запит дозволу",Якщо в Здоров’я є вага/тренування/вода.,"Може підтягнутись після перше відкриття (нотувати, що саме зʼявилось на Головній)",,
17. Дозволи телефону і нагадування,338,"Телефон: Налаштування → цей додаток, або перший запит дозволу",Шукати екран Налаштування.,Так і має бути: цього екрана / кнопки немає екран вимикачів синхронізація,,
18. Мова телефону і темна тема,339,Налаштування телефону: мова і вигляд,Система англійська мова телефону.,"Немає ключів foo.bar, немає українських шматків",,
18. Мова телефону і темна тема,340,Налаштування телефону: мова і вигляд,Система українська мова телефону.,Усі основні екрани українською,,
18. Мова телефону і темна тема,341,Налаштування телефону: мова і вигляд,Українська мова телефону + перший дозвіл камери.,Текст дозволу українською,,
18. Мова телефону і темна тема,342,Налаштування телефону: мова і вигляд,Зроби так: світла тема.,"Контраст, кільця, картки",,
18. Мова телефону і темна тема,343,Налаштування телефону: мова і вигляд,Зроби так: темна тема.,Те саме,,
18. Мова телефону і темна тема,344,Налаштування телефону: мова і вигляд,"Шторка зліва зверху (ліхтарик, літак) під час Головна / екран «Вітаємо в Bity» / AI / екран зі списком страв (олівець).",Перефарбовується без рестарту,,
18. Мова телефону і темна тема,345,Налаштування телефону: мова і вигляд,Універсальний доступ потім найбільший шрифт.,Не ріже кнопки «Далі» / «Зберегти»; можна скролити,,
18. Мова телефону і темна тема,346,Налаштування телефону: мова і вигляд,Зроби так: iPhone маленький айфон.,"Немає накладань, ряд кнопок внизу доступний",,
18. Мова телефону і темна тема,347,Налаштування телефону: мова і вигляд,Зроби так: iPhone великий айфон.,"Не розтягнуто «як планшет», відступи живі",,
18. Мова телефону і темна тема,348,Налаштування телефону: мова і вигляд,Повернути Головна / камеру.,"Або коректний layout, або лок портрета — нотувати факт",,
18. Мова телефону і темна тема,349,Налаштування телефону: мова і вигляд,Зроби так: відступи від вирізу екрана / Dynamic Island / смужка внизу екрана.,Кнопки не під виріз екрана і не під смужка внизу екрана,,
18. Мова телефону і темна тема,350,Налаштування телефону: мова і вигляд,Якщо є.,"Клампанний scale, спліт не ламає XIB",,
18. Мова телефону і темна тема,351,Налаштування телефону: мова і вигляд,"«Пошук», екран «додати в щоденник», чат, об’єм склянки.",Поля видимі,,
19. Закрити додаток і відкрити знову,352,Головна,Запиши потім повністю закрий додаток (згорнути картку вгору).,Їжа на місці,,
19. Закрити додаток і відкрити знову,353,Головна,Зроби так: повністю закрий додаток (згорнути картку вгору) після води.,Вода на місці,,
19. Закрити додаток і відкрити знову,354,Головна,Зроби так: повністю закрий додаток (згорнути картку вгору) після ваги/тренування.,Дані на місці,,
19. Закрити додаток і відкрити знову,355,Головна,Пройди план потім повністю закрий.,Не показує екран «Вітаємо в Bity»,,
19. Закрити додаток і відкрити знову,356,Головна,«Почнімо» перший екран помічника потім повністю закрий.,"Чат, не перший екран помічника",,
19. Закрити додаток і відкрити знову,357,Головна,330 ml потім повністю закрий.,Залишився 330,,
19. Закрити додаток і відкрити знову,358,Головна,Позначити з’їдено потім повністю закрий.,Позначка «з’їдено» лишився,,
19. Закрити додаток і відкрити знову,359,Головна,Видали додаток.,"Усі дані зникають, перше налаштування знову",,
19. Закрити додаток і відкрити знову,360,Головна,30+ продуктів за день.,"Головна скролиться, без лагів",,
19. Закрити додаток і відкрити знову,361,Головна,Після видалити.,Віджет порожній/плейсхолдер,,
20. Без інтернету,362,"Будь-який екран, де потрібен інтернет",Режим польоту (без інтернету).,Порожньо / помилка,,
20. Без інтернету,363,"Будь-який екран, де потрібен інтернет",Зроби так: без інтернету штрихкод пошук продукту.,Помилка підказка,,
20. Без інтернету,364,"Будь-який екран, де потрібен інтернет",Зроби так: без інтернету фото-аналіз.,Помилка статусу,,
20. Без інтернету,365,"Будь-який екран, де потрібен інтернет",Після транскрипту «Аналізувати».,Помилка,,
20. Без інтернету,366,"Будь-який екран, де потрібен інтернет",«Надіслати».,Помилка повідомлення,,
20. Без інтернету,367,"Будь-який екран, де потрібен інтернет",«Надіслати».,Не додаток вилетів,,
20. Без інтернету,368,"Будь-який екран, де потрібен інтернет","Вимкнути режим польоту (без інтернету), повторити.",Успіх,,
20. Без інтернету,369,"Будь-який екран, де потрібен інтернет",Network Link Conditioner 3G.,"Лоадери/статуси, не подвійний сабміт",,
20. Без інтернету,370,"Будь-який екран, де потрібен інтернет",Обрізати мережу посеред аналізу.,"Відновлення UI, можна повторити",,
21. Віджет на робочому столі,371,Робочий стіл телефону (віджети),Головна Screen потім Bity потім Medium.,Віджет ставиться,,
21. Віджет на робочому столі,372,Робочий стіл телефону (віджети),Відразу після інсталу.,"«—» / порожнє кільце, не додаток вилетів SpringBoard",,
21. Віджет на робочому столі,373,Робочий стіл телефону (віджети),Запиши їжу і воду.,Може не оновитись (оновлення віджета зараз не хукається) — нотувати факт,,
21. Віджет на робочому столі,374,Робочий стіл телефону (віджети),Натисни не на «Записати».,Відкриває додаток (посилання bity://home може не оброблятись — нотувати куди падає),,
21. Віджет на робочому столі,375,Робочий стіл телефону (віджети),Кнопка «Записати».,Може не відкрити вікно «Записати прийом» (чотири кнопки) (bity://log без handler) — нотувати,,
21. Віджет на робочому столі,376,Робочий стіл телефону (віджети),Українська мова телефону система.,Підписи українська мова телефону,,
21. Віджет на робочому столі,377,Робочий стіл телефону (віджети),Темна тема.,Читабельно,,
22. Чого в додатку ще немає — це нормально,378,Головна і вкладки внизу,Зроби так: Налаштування / профіль.,Кнопка іконка людини на Головній нічого не відкриває,,
22. Чого в додатку ще немає — це нормально,379,Головна і вкладки внизу,Зроби так: Екран цілей/аватара/преміум.,Немає,,
22. Чого в додатку ще немає — це нормально,380,Головна і вкладки внизу,Зроби так: Paywall Adapty.,Ніде не показується з фіч,,
22. Чого в додатку ще немає — це нормально,381,Головна і вкладки внизу,Зроби так: Гейт «безкоштовні скани».,Штрихкод/фото працюють без підписки,,
22. Чого в додатку ще немає — це нормально,382,Головна і вкладки внизу,Зроби так: Каталог Рецепти.,"Вкладка — майже порожній екран, лише назва",,
22. Чого в додатку ще немає — це нормально,383,Головна і вкладки внизу,Зроби так: Текст їжа logging.,Немає входу з Головна/вікно «Записати прийом» (чотири кнопки),,
22. Чого в додатку ще немає — це нормально,384,Головна і вкладки внизу,Зроби так: Зміна дня щоденника.,Немає екран prev/next/calendar,,
22. Чого в додатку ще немає — це нормально,385,Головна і вкладки внизу,Зроби так: Графіки Прогрес.,Немає,,
22. Чого в додатку ще немає — це нормально,386,Головна і вкладки внизу,Зроби так: Галерея прогрес photos.,Немає перегляду збережених фото,,
22. Чого в додатку ще немає — це нормально,387,Головна і вкладки внизу,Зроби так: «Умовами та конфіденційністю» тапи.,Екран «Вітаємо в Bity» дрібний текст внизу не клікабельний,,
23. Кілька кроків підряд,388,Кілька екранів підряд,Перше налаштування потім сніданок через редагувати+пошук потім обід штрихкод потім снек фото потім вечеря голос потім вода до цілі потім вага потім 20 хв прогулянка потім фото прогресу потім AI «що мені ще зʼїсти».,"Усе на Головній сходиться: ккал, білки / жири / вуглеводи, вода, спалені калорії, Нагороди очки нагород зросли",,
23. Кілька кроків підряд,389,Кілька екранів підряд,Обід з куркою потім екран зі списком страв (олівець) AI заміна страви / чат заміна страви.,"Стара позиція замінена, ккал інші, Smart Choice прогрес",,
23. Кілька кроків підряд,390,Кілька екранів підряд,AI залогував потім «скасувати запис» на картці.,"Головна без цього запису, кільця відкотились",,
23. Кілька кроків підряд,391,Кілька екранів підряд,«Пошук» + barcode в Перекуси.,"Обидва рядки, сума правильна",,
