Секція,ID,Кейс,Кроки,Очікувано,Статус,Нотатки
O. Rewards / XP / бейджі,O12,Unlock modal,Виконати умову бейджа,"Повноекранна деталь з конфеті, черга якщо кілька",,
O. Rewards / XP / бейджі,O13,Черга бейджів,Два анлоки підряд,Другий після закриття першого,,
O. Rewards / XP / бейджі,O14,Unlock на будь-якому табі,"Лог з Home, сидіти на Progress",Модалка поверх,,
Умови бейджів (окремі довгі кейси),O15,Meal Tracker Master,7 днів поспіль з будь-яким логом їжі,7 днів логу або зміна дати пристрою + логи,,
Умови бейджів (окремі довгі кейси),O16,Hydration Hero,7 днів поспіль вода ≥ денної цілі,Долити до цілі 7 днів,,
Умови бейджів (окремі довгі кейси),O17,Consistent Weigher,3 тижні поспіль із записом ваги,Вага в 3 різних тижнях,,
Умови бейджів (окремі довгі кейси),O18,Macro Balancer,5 днів balanced macros,"Дні, коли score має badge balanced",,
Умови бейджів (окремі довгі кейси),O19,Fiber Champion,7 днів fiber ≥ цілі,Їжа з клітковиною до цілі,,
Умови бейджів (окремі довгі кейси),O20,Weekend Warrior,2 вихідні підряд з їжею або workout,Сб/Нд логи,,
Умови бейджів (окремі довгі кейси),O21,Protein Master,3 дні білок ≥ цілі,,,
Умови бейджів (окремі довгі кейси),O22,Early Bird Logger,5 днів їжа з hour < 9,Залогувати вранці,,
Умови бейджів (окремі довгі кейси),O23,Smart Choice,7 днів зі swap,Заміни через AI/swap картку,,
Умови бейджів (окремі довгі кейси),O24,Visual Journey,7 днів progress photo,,,
Умови бейджів (окремі довгі кейси),O25,No Late Snacks,3 дні вся їжа до 21:00,Не логувати після 21,,
Умови бейджів (окремі довгі кейси),O26,Nutrient Explorer,7 днів ≥3 різних назв продуктів за день,,,
Умови бейджів (окремі довгі кейси),O27,Стрік на Progress subtitle,Логи їжі кілька днів,Subtitle показує стрік,,
Умови бейджів (окремі довгі кейси),O28,Стрік рветься,Пропустити день логу їжі,Current streak скидається,,
P. Recipes,P01,Placeholder таб,Відкрити Recipes,"Фон онбордингу, великий тайтл таба, немає пошуку рецептів",,
P. Recipes,P02,Немає крашу,Зайти/вийти 5 разів,Стабільно,,
P. Recipes,P03,Каталог рецептів,Шукати список/AI generate/saved,[очікувано немає] у табі,,
"Q. Дозволи, Health, нотифікації",Q01,Camera copy,Перший баркод/фото,"Текст usage EN або UK, не дефолт Apple",,
"Q. Дозволи, Health, нотифікації",Q02,Mic copy,Перший голос,Локалізований usage,,
"Q. Дозволи, Health, нотифікації",Q03,Photo library copy,Якщо система питає,Локалізований usage,,
"Q. Дозволи, Health, нотифікації",Q04,Health copy,Онбординг Continue,Share + update usage,,
"Q. Дозволи, Health, нотифікації",Q05,Notifications після онбордингу,"Перший вхід на таби, .notDetermined",Системний запит нотифікацій,,
"Q. Дозволи, Health, нотифікації",Q06,Notifications Allow,Allow,Немає спаму промптами,,
"Q. Дозволи, Health, нотифікації",Q07,Notifications Deny,Don’t Allow,Апка жива; нагадування не приходять,,
"Q. Дозволи, Health, нотифікації",Q08,Нагадування breakfast,"Allow, зачекати 08:00 (або змінити час пристрою)",Локальна нотифікація breakfast,,
"Q. Дозволи, Health, нотифікації",Q09,Lunch 13:00,,Нотифікація,,
"Q. Дозволи, Health, нотифікації",Q10,Dinner 19:00,,Нотифікація,,
"Q. Дозволи, Health, нотифікації",Q11,Water 10:30 / 15:00 / 18:30,,Три водні слоти,,
"Q. Дозволи, Health, нотифікації",Q12,Weight 07:30,,Нотифікація ваги,,
"Q. Дозволи, Health, нотифікації",Q13,Streak 21:00,,Нотифікація стріка,,
"Q. Дозволи, Health, нотифікації",Q14,Health sync після Allow,Залогувати воду/їжу/вагу/workout на девайсі з Health,Зʼявляється в Apple Health відповідна категорія,,
"Q. Дозволи, Health, нотифікації",Q15,Health Deny,Онбординг Maybe later / Deny,Апка працює локально,,
"Q. Дозволи, Health, нотифікації",Q16,Імпорт з Health,Якщо в Health є вага/тренування/вода,"Може підтягнутись після bootstrap (нотувати, що саме зʼявилось на Home)",,
"Q. Дозволи, Health, нотифікації",Q17,Settings Health toggles,Шукати екран Settings,[очікувано немає] UI вимикачів sync,,
"R. Локалізація, тема, адаптив",R01,EN повний прохід,Система EN,"Немає ключів `foo.bar`, немає українських шматків",,
"R. Локалізація, тема, адаптив",R02,UK повний прохід,Система UK,Усі основні екрани українською,,
"R. Локалізація, тема, адаптив",R03,Мікс Infoplist,UK + перший дозвіл камери,Текст дозволу українською,,
"R. Локалізація, тема, адаптив",R04,Light,,"Контраст, кільця, картки",,
"R. Локалізація, тема, адаптив",R05,Dark,,Те саме,,
"R. Локалізація, тема, адаптив",R06,Зміна теми наживо,Control Center під час Home / Welcome / AI / Edit meal,Перефарбовується без рестарту,,
"R. Локалізація, тема, адаптив",R07,Dynamic Type,Accessibility → найбільший шрифт,Не ріже кнопки Continue / Save; можна скролити,,
"R. Локалізація, тема, адаптив",R08,iPhone SE,,"Немає накладань, таббар доступний",,
"R. Локалізація, тема, адаптив",R09,iPhone Pro Max,,"Не розтягнуто «як планшет», відступи живі",,
"R. Локалізація, тема, адаптив",R10,Landscape,Повернути Home / камеру,"Або коректний layout, або лок портрета — нотувати факт",,
"R. Локалізація, тема, адаптив",R11,Safe area / Dynamic Island / home indicator,,Кнопки не під notch і не під home bar,,
"R. Локалізація, тема, адаптив",R12,iPad,Якщо є,"Клампанний scale, спліт не ламає XIB",,
"R. Локалізація, тема, адаптив",R13,Клавіатура overlay,"Search, Add entry, чат, glass volume",Поля видимі,,
S. Життєвий цикл даних,S01,Kill після логу їжі,Залогувати → вбити апку,Їжа на місці,,
S. Життєвий цикл даних,S02,Kill після води,,Вода на місці,,
S. Життєвий цикл даних,S03,Kill після ваги/workout,,Дані на місці,,
S. Життєвий цикл даних,S04,Онбординг completed persist,Пройти план → вбити,Не показує Welcome,,
S. Життєвий цикл даних,S05,AI intro persist,Start intro → вбити,"Чат, не intro",,
S. Життєвий цикл даних,S06,Обʼєм склянки persist,330 ml → вбити,Залишився 330,,
S. Життєвий цикл даних,S07,Eaten persist,Позначити eaten → вбити,Страйк лишився,,
S. Життєвий цикл даних,S08,Видалення апки,Delete app,"Усі дані зникають, онбординг знову",,
S. Життєвий цикл даних,S09,Багато записів,30+ продуктів за день,"Home скролиться, без лагів",,
S. Життєвий цикл даних,S10,Реінсталл віджета,Після delete,Віджет порожній/плейсхолдер,,
T. Мережа і помилки,T01,Offline пошук,Airplane,Порожньо / помилка,,
T. Мережа і помилки,T02,Offline баркод lookup,,Помилка hint,,
T. Мережа і помилки,T03,Offline фото-аналіз,,Помилка статусу,,
T. Мережа і помилки,T04,Offline голос-аналіз,Після транскрипту Analyze,Помилка,,
T. Мережа і помилки,T05,Offline AI чат,Send,Failed message,,
T. Мережа і помилки,T06,Offline Edit meal AI,Send,Не краш,,
T. Мережа і помилки,T07,Повернення мережі,"Вимкнути Airplane, повторити",Успіх,,
T. Мережа і помилки,T08,Повільна мережа,Network Link Conditioner 3G,"Лоадери/статуси, не подвійний сабміт",,
T. Мережа і помилки,T09,Таймаут,Обрізати мережу посеред аналізу,"Відновлення UI, можна повторити",,
U. Віджет,U01,Додати віджет,Home Screen → Bity → Medium,Віджет ставиться,,
U. Віджет,U02,Порожні дані,Відразу після інсталу,"«—» / порожнє кільце, не краш SpringBoard",,
U. Віджет,U03,Після логу в апці,Залогувати їжу і воду,Може не оновитись (snapshot зараз не хукається) — нотувати факт,,
U. Віджет,U04,Тап по віджету,Тап не на Log,Відкриває апку (deep link `bity://home` може не оброблятись — нотувати куди падає),,
U. Віджет,U05,Тап Log,Кнопка Log,Може не відкрити Quick Log (`bity://log` без handler) — нотувати,,
U. Віджет,U06,Локаль віджета,UK система,Підписи UK,,
U. Віджет,U07,Dark віджет,Dark,Читабельно,,
"V. Те, чого немає в UI (не баг, якщо відсутнє)",V01,Settings / профіль,,Кнопка person на Home нічого не відкриває,,
"V. Те, чого немає в UI (не баг, якщо відсутнє)",V02,Екран цілей/аватара/преміум,,Немає,,
"V. Те, чого немає в UI (не баг, якщо відсутнє)",V03,Paywall Adapty,,Ніде не показується з фіч,,
"V. Те, чого немає в UI (не баг, якщо відсутнє)",V04,Гейт «безкоштовні скани»,,Баркод/фото працюють без підписки,,
"V. Те, чого немає в UI (не баг, якщо відсутнє)",V05,Каталог Recipes,,Таб — placeholder,,
"V. Те, чого немає в UI (не баг, якщо відсутнє)",V06,Text food logging,,Немає входу з Home/Quick Log,,
"V. Те, чого немає в UI (не баг, якщо відсутнє)",V07,Зміна дня щоденника,,Немає UI prev/next/calendar,,
"V. Те, чого немає в UI (не баг, якщо відсутнє)",V08,Графіки Progress,,Немає,,
"V. Те, чого немає в UI (не баг, якщо відсутнє)",V09,Галерея progress photos,,Немає перегляду збережених фото,,
"V. Те, чого немає в UI (не баг, якщо відсутнє)",V10,Terms/Privacy тапи,,Welcome футер не клікабельний,,
W. Наскрізні сценарії,W01,Повний день юзера,Онбординг → сніданок через edit+search → обід баркод → снек фото → вечеря голос → вода до цілі → вага → 20 хв walk → фото прогресу → AI «що мені ще зʼїсти»,"Усе на Home сходиться: ккал, макроси, вода, burn, Rewards XP зросли",,
W. Наскрізні сценарії,W02,Заміна продукту,Lunch з куркою → Edit meal AI swap / чат swap,"Стара позиція замінена, ккал інші, Smart Choice прогрес",,
W. Наскрізні сценарії,W03,Undo з чату,AI залогував → Undo,"Home без цього запису, кільця відкотились",,
W. Наскрізні сценарії,W04,Два методи в один прийом,Search + barcode в Snacks,"Обидва рядки, сума правильна",,
W. Наскрізні сценарії,W05,Лог не в той прийом,Quick Log (Snacks) потім Add entry meal = Breakfast,Можна покласти в Breakfast з Add entry; Quick Log лишається Snacks,,
W. Наскрізні сценарії,W06,Вчорашня їжа,Add entry дата вчора,Сьогоднішній Home без неї; кільця сьогоднішні не враховують вчора,,
W. Наскрізні сценарії,W07,Health + локальний лог,"Health Allow, залогувати воду в апці",Немає дубля «дві склянки» на Home (або нотувати дубль — це баг),,
W. Наскрізні сценарії,W08,Повернення на камеру після details,Баркод → details → Back,Камера знову жива,,
W. Наскрізні сценарії,W09,Mode switch посеред флоу,Photo → Barcode → Search → Voice,"Кожен екран валідний, стек не росте нескінченно",,
W. Наскрізні сценарії,W10,Badge під час логу,Закрити unlock → одразу новий лог,UI не блокується,,
W. Наскрізні сценарії,W11,Багато шитів,Quick log → dismiss → glass volume → dismiss → edit meal,"Усі дізмісяться, Home клікабельний",,
W. Наскрізні сценарії,W12,Memory pressure,Галерея + чат з фото + Home,Немає джетсам посеред флоу (на старому девайсі),,
W. Наскрізні сценарії,W13,Час пристрою,"Змінити дату на завтра, відкрити апку","«Порожній» новий день, вчорашнє не змішалось",,
W. Наскрізні сценарії,W14,Локаль під час сесії,"Змінити мову системи, не вбиваючи апку",Після рестарту апки мова нова,,
X1. Запис їжі фразами,X01,Сніданок як в intro EN,`I had oatmeal with blueberries and black coffee for breakfast.`,"Картка logged meal, Breakfast на Home, ккал > 0, кільце зросло",,
X1. Запис їжі фразами,X02,Сніданок як в intro UK,`На сніданок була вівсянка з чорницями і чорна кава.`,Те саме в Breakfast,,
X1. Запис їжі фразами,X03,"Одна страва, без прийому",`з'їв яблуко`,Лог є. Прийом — який AI вибрав (часто snacks). Нотувати куди поклав,,
X1. Запис їжі фразами,X04,Явно обід,`на обід борщ і шматок хліба`,"1 або 2 картки логу, рядки в Lunch",,
X1. Запис їжі фразами,X05,Явно вечеря + грами,`на вечерю 200 г курки гриль і салат`,"Dinner, порція ~200 г якщо модель передала grams",,
X1. Запис їжі фразами,X06,Напій у мл,`випив лате 300 мл`,"Запис з мл, ккал лате не 0",,
X1. Запис їжі фразами,X07,Перекус,`снек: протеїновий батончик`,Snacks,,
X1. Запис їжі фразами,X08,Кілька продуктів одним реченням,"`яйця, тост і авокадо на сніданок`",Кілька карток або один комбо-запис. Нотувати як модель зробила. Home сходиться з сумою в чаті,,
X1. Запис їжі фразами,X09,Порція «тарілка / жменя»,`жменя мигдалю`,"Лог з розумною порцією, не 0 ккал",,
X1. Запис їжі фразами,X10,Бренд / фастфуд,`бігмак і кола`,"Лог, ккал явно ресторанного порядку (не 50)",,
X1. Запис їжі фразами,X11,Сленг / опечатка,`зїла омлєт з сиром`,Все одно розпізнав і залогував,,
X1. Запис їжі фразами,X12,Англійська в UK-апі,"Система UK, фраза `grilled salmon 150g for dinner`",Лог у Dinner,,
X1. Запис їжі фразами,X13,Українська в EN-апі,"Система EN, фраза `сирники зі сметаною`","Лог, назва читабельна",,
X1. Запис їжі фразами,X14,Нульова / жарт їжа,`з'їв повітря`,Немає фейкового логу 500 ккал або модель відмовила текстом без картки,,
X1. Запис їжі фразами,X15,Не їжа,`який сьогодні курс долара?`,"Текстова відповідь, немає картки їжі/води",,
X1. Запис їжі фразами,X16,Порожнє «запиши їжу»,`запиши що я з'їв` (без назви),"Уточнює питанням, не створює порожній рядок",,
X1. Запис їжі фразами,X17,Дубль,Двічі підряд `з'їв яблуко`,Два записи (або модель питає). Нотувати. Кільце = сумі,,
X1. Запис їжі фразами,X18,Undo після логу,X01 → Undo на картці,"Рядок зник з Home, кільце відкотилось, статус undone",,
X1. Запис їжі фразами,X19,Undo один з двох,X08 два логи → Undo лише на другому,Перший лишився,,
X2. Вода з чату,X20,Склянка,`додай склянку води`,"Алерт з N мл (часто 150–250). Confirm → Home +N мл, XP +5",,
X2. Вода з чату,X21,Точний обʼєм,`запиши 500 мл води`,"Алерт 500. Confirm → лічильник +500, не +1 склянка 150",,
X2. Вода з чату,X22,Дві склянки,`випив 2 склянки води`,Алерт з ~2× обʼємом або два підтвердження. Нотувати N,,
X2. Вода з чату,X23,Літри,`випив 1 літр води`,Алерт ~1000 мл,,
X2. Вода з чату,X24,Cancel,X21 → Cancel,"Вода на Home не змінилась, в чаті system cancelled",,
X2. Вода з чату,X25,Confirm після Cancel,Знову `запиши 250 мл води` → Confirm,Цього разу додалось,,
X2. Вода з чату,X26,Вода + їжа в одному,`з'їв яблуко і випив 200 мл води`,Картка їжі і алерт води. Підтвердити воду окремо,,
X2. Вода з чату,X27,AI вода ≠ розмір склянки Home,Склянка Home = 150. Чат `запиши 500 мл` → Confirm,"Лічильник +500. Візуал 8 склянок заповнюється пропорційно до денної цілі, не «+1 пляшка»",,
X2. Вода з чату,X28,Мінус після AI-води,X21 Confirm → на Home `−`,"Зникає останній запис (усі 500 мл), не 150",,
X3. Свапи і заміни,X29,Чіп Swaps,Тап «Заміни їжі» / `Food Swaps`,"У чат пішла назва чіпа, прийшли swap-картки або текст з ідеями",,
X3. Свапи і заміни,X30,Свап названої страви,Lunch: курка. `заміни курку на індичку`,"Картка swap курка → індичка, savings ккал. Щоденник ще не змінений",,
X3. Свапи і заміни,X31,Apply,X30 → Apply,Картка стає logged meal. Lunch оновлений (replace) або новий рядок у Snacks (якщо без target). Нотувати куди,,
X3. Свапи і заміни,X32,See more,X30 → See more,"У чат іде `See More Options` / `Більше варіантів`, нові картки",,
X3. Свапи і заміни,X33,Ігнор свапа,"X30, не тиснути Apply, відкрити Home",Оригінальна курка на місці,,
X3. Свапи і заміни,X34,Replace явно,"`це була не курка, а індичка, виправ`","Replace: курка зникла, індичка є, не два рядки",,
X3. Свапи і заміни,X35,Свап без їжі в щоденнику,"Порожній день, `заміни піцу на салат`",Картка все одно може бути; Apply додасть альтернативу в Snacks. Нотувати,,
X4. Ідеї страв і рецепти,X36,Чіп Meals,Тап «Ідеї страв»,Recipe-картки з ккал/макросами,,
X4. Ідеї страв і рецепти,X37,Вечеря в ліміт,"Спочатку зʼїсти ~80% ккал. `що приготувати на вечерю, щоб влізти в ціль?`",Варіанти з ккал ≤ remaining (орієнтовно),,
X4. Ідеї страв і рецепти,X38,Log з картки,X36 → Log на одній картці,"Запис у вказаний mealType картки, Home оновився",,
X4. Ідеї страв і рецепти,X39,Не логувати картку,"Відкрити картки, нічого не тиснути",Щоденник без змін,,
X4. Ідеї страв і рецепти,X40,Рецепт під ціль (intro capability),`дай рецепт вечері близько 500 ккал з високим білком`,Картки або текст рецепта з Б/Ж/В,,
X4. Ідеї страв і рецепти,X41,Швидка вечеря,"`вечеря за 15 хвилин, без духовки`",Ідеї з коротким cook time,,
X5. Nutrition Q&A і контекст дня,X42,Чіп Nutrition,Тап «Питання про харчування»,"Текстова відповідь про нутрицієнти, не обовʼязково картка",,
X5. Nutrition Q&A і контекст дня,X43,Скільки ще можна,Залогувати ~400 ккал. `скільки калорій мені ще можна сьогодні?`,Число близьке до remaining на Home (± невелика похибка моделі),,
X5. Nutrition Q&A і контекст дня,X44,Білок,`чи я закрив білок?`,Відповідь спирається на зʼїдений protein vs target,,
X5. Nutrition Q&A і контекст дня,X45,Порожній день,Нічого не зʼїдено. `як мій прогрес сьогодні?`,"Каже що день порожній / 0, не вигадує обід",,
X5. Nutrition Q&A і контекст дня,X46,Вода vs ціль,"1 склянка 150, ціль ~2 л. `скільки води ще треба?`",Залишок близький до цілі − 150,,
X5. Nutrition Q&A і контекст дня,X47,Мікропорада (insights),Після жирного обіду: `дай одну коротку пораду на сьогодні`,"Короткий текст, без обовʼязкового логу",,
X6. Памʼять сесії (кілька реплік підряд),X48,Same lunch (intro),1) `на обід гречка з куркою` (підтвердити лог) 2) `запиши той самий обід ще раз`,"Другий лог схожий на перший, не «не зрозумів»",,
X6. Памʼять сесії (кілька реплік підряд),X49,Уточнення порції,"1) `з'їв пасту` 2) `ні, це була маленька порція, грамм 150`","Або replace, або новий лог зі зменшеними ккал. Home не має двох великих паст без причини",,
X6. Памʼять сесії (кілька реплік підряд),X50,Питання після логу,1) X01 вівсянка 2) `а скільки там було білка?`,"Відповідь про цю вівсянку, не загальний Wikipedia",,
X6. Памʼять сесії (кілька реплік підряд),X51,Ланцюжок дня,1) сніданок 2) `скільки залишилось ккал` 3) `запропонуй обід` 4) Log картки 5) `додай 300 мл води` Confirm,"Home: breakfast+lunch, вода +300, remaining зменшився двічі",,
X6. Памʼять сесії (кілька реплік підряд),X52,Алергія → порада,"1) `я алергік на арахіс, запам'ятай` 2) `що перекусити`",Не пропонує арахисове масло / Snickers з peanut. Preference Saved,,
X6. Памʼять сесії (кілька реплік підряд),X53,Дієта,1) `я вегетаріанець` 2) чіпа Meals або `вечеря`,Без мʼяса/риби в картках,,
X6. Памʼять сесії (кілька реплік підряд),X54,Не люблю,1) `не люблю броколі` 2) `салат на вечерю`,Без броколі,,
X6. Памʼять сесії (кілька реплік підряд),X55,Довгий тред,12 коротких питань підряд (`ще`),"Скрол живий, send не блокується, після 20 історія підрізається — найстаріше може «забутись»",,
X6. Памʼять сесії (кілька реплік підряд),X56,Історія після kill,X51 → вбити апку → AI таб,"Останні репліки на місці (не карти, а текст user/assistant)",,
X6. Памʼять сесії (кілька реплік підряд),X57,Clear all посеред дня,Після X51 History → Clear all,Welcome знову. «Той самий обід» більше не згадує X51,,
"X7. Фото, голос, мова в чаті",X58,Тільки фото страви,"Attach gallery, без тексту","User bubble «Фото» / `Photo`, аналіз, бажано logged meal",,
"X7. Фото, голос, мова в чаті",X59,Фото + підпис,"Gallery, потім дописати `це обід, порція велика` — якщо UI шле фото одразу: надіслати фото, наступним повідомленням уточнити","Або одразу лог Lunch, або replace після другої репліки",,
"X7. Фото, голос, мова в чаті",X60,Фото не їжі,Селфі / стіл,"Текст «не розпізнав» / прохання перезняти, без рандомного логу",,
"X7. Фото, голос, мова в чаті",X61,Камера з чату,Attach → Camera → страва,Як X58,,
"X7. Фото, голос, мова в чаті",X62,Файл-картинка,Attach → Files → jpg,Як X58,,
"X7. Фото, голос, мова в чаті",X63,Mic → текст → Send,"Наговорити `на сніданок омлет`, перевірити поле, Send",Лог Breakfast,,
"X7. Фото, голос, мова в чаті",X64,Mic без Send,Наговорити і стерти,Нічого не пішло,,
"X7. Фото, голос, мова в чаті",X65,Подвійний Send,Тицьнути Send двічі на одному тексті,"Один запит (isSending блокує), не два логи",,
X8. Негативні / краї чату,X66,Offline,Airplane → будь-яка фраза,"System error, Failed, поле знову доступне",,
X8. Негативні / краї чату,X67,Дуже довге повідомлення,Вставити 2–3 тис. символів меню,Не краш; відповідь або помилка,,
X8. Негативні / краї чату,X68,Тільки емодзі,`🍕🍔`,"Або лог піци/бургера, або уточнення",,
X8. Негативні / краї чату,X69,Змішана мова,`сьогодні lunch was sushi`,Лог Lunch,,
X8. Негативні / краї чату,X70,Просить видалити,Після логу: `видали це яблуко`,"Або replace/delete ефект на Home, або каже відкрити edit. Нотувати. Undo картки має працювати завжди",,
Y. Склянки води — повний набір,Y01,Дефолт 150,"Новий юзер, `+`","+150 мл, 1 слот частково/повністю залежно від цілі",,
Y. Склянки води — повний набір,Y02,Пʼять плюсів,`+` × 5 при 150,"+750 мл, 5 записів, `−` знімає по 150",,
Y. Склянки води — повний набір,Y03,"Зміна 150 → 330, потім `+`",Олівець → 330 → Save → `+`,"Новий запис 330, старі 150 не перераховуються",,
Y. Склянки води — повний набір,Y04,Усі чіпи,"По черзі 150, 200, 250, 330, після кожного Save зробити `+` і `−`",Кожен `+` = обраний обʼєм,,
Y. Склянки води — повний набір,Y05,Кастом 180,Ввести 180 → Save → `+` × 2,"+360, два записи по 180",,
Y. Склянки води — повний набір,Y06,Кастом 1 мл,Ввести 1 → Save → `+`,"Дозволяє (> 0), слот майже порожній",,
Y. Склянки води — повний набір,Y07,Велика склянка 1000,Ввести 1000 → Save → `+`,"+1000 за один тап, кілька слотів заповнюються одразу",,
Y. Склянки води — повний набір,Y08,Рівно до цілі,Дивитись ціль (наприклад 2450). Склянка 250. Плюсати до цілі,"Лічильник = ціль, слоти повні",,
Y. Склянки води — повний набір,Y09,Один плюс понад ціль,Після Y08 ще `+`,"Лічильник > цілі, без крашу, слоти max",,
Y. Склянки води — повний набір,Y10,Мінус посередині,4 склянки → `−` × 2,"Лишилось 2, останні зникли",,
Y. Склянки води — повний набір,Y11,Мінус усі,`−` до нуля,"0, слоти порожні, ще `−` — no-op",,
Y. Склянки води — повний набір,Y12,Змішані обʼєми,"150, змінити на 330, `+`, `−`","`−` знімає 330 (останній), лишається 150",,
Y. Склянки води — повний набір,Y13,AI 500 + Home 150,"Чат 500 Confirm, потім Home `+`","Сума 650. `−` спочатку знімає 150, наступний `−` — 500",,
Y. Склянки води — повний набір,Y14,Закрити шит склянки жестом,"Змінити чіп, свайп вниз",Обʼєм не зберігся,,
Y. Склянки води — повний набір,Y15,Клавіатура на шиті,Фокус у полі,"Цифри, select-all, суфікс ml після blur",,
Y. Склянки води — повний набір,Y16,Dark + UK на шиті,,"Чіпи «150 мл» тощо, без ключів",,
Y. Склянки води — повний набір,Y17,Persist обʼєму,250 Save → kill app → `+`,Додалось 250,,
Y. Склянки води — повний набір,Y18,Анімація 8 слотів,Повільно плюсати від 0 до цілі,"Слоти наповнюються зліва направо, частковий останній",,
Z1. Пошук — різні запити,Z01,Продукт EN,`chicken breast`,"Є результати, тап → Snacks",,
Z1. Пошук — різні запити,Z02,Продукт UK,`куряча грудка`,Результати українською/локаллю,,
Z1. Пошук — різні запити,Z03,Бренд,`Coca-Cola` або `Coca Cola`,"Напій, ккал на порцію",,
Z1. Пошук — різні запити,Z04,Страва,`борщ`,Результат або AI-підказка зверху,,
Z1. Пошук — різні запити,Z05,Короткий,`egg`,Не порожньо,,
Z1. Пошук — різні запити,Z06,З одиницею,`рис 100г`,Пошук живий (може ігнорувати «100г»),,
Z1. Пошук — різні запити,Z07,Два слова,`greek yogurt`,"Йогурт, не випадкове мʼясо",,
Z1. Пошук — різні запити,Z08,Немає в базі,`qwertyfoodzzz`,0 результатів,,
Z1. Пошук — різні запити,Z09,Тап suggested vs results,Порівняти 2 AI suggested і рядок нижче,"Обидва логують, різні продукти",,
Z1. Пошук — різні запити,Z10,Пошук з Edit Breakfast,Олівець Breakfast → `+` → `банан` → тап,"Банан у Breakfast, не Snacks",,
Z2. Баркод — різні коди,Z11,Типовий EAN-13,Реальна пляшка/пачка,Product details з назвою бренду,,
Z2. Баркод — різні коди,Z12,Другий продукт,Інший штрихкод одразу після Back,"Новий продукт, не кеш першого",,
Z2. Баркод — різні коди,Z13,Напій vs тверде,Кола vs йогурт,мл vs г у порції на Add entry,,
Z2. Баркод — різні коди,Z14,Manual той самий код,"Сканувати, запамʼятати цифри, Enter manually",Той самий продукт,,
Z2. Баркод — різні коди,Z15,Add entry → Breakfast,Після баркода meal chip Breakfast → Add,На Home у Breakfast,,
Z3. Фото — різні кадри,Z16,Одна тарілка,Омлет / каша,"1 страва, ккал > 0",,
Z3. Фото — різні кадри,Z17,Комбо на тарілці,Мʼясо + гарнір + овочі,"Або 1 комбо, або кілька інгредієнтів. Нотувати",,
Z3. Фото — різні кадри,Z18,Упаковка з етикеткою,Йогурт крупним планом,Назва схожа на упаковку,,
Z3. Фото — різні кадри,Z19,Напій у склянці,Кава / сік,Не плутає з супом безглуздо; є мл або ккал,,
Z3. Фото — різні кадри,Z20,Погане світло,Темне фото,"Або низька впевненість / помилка, не краш",,
Z3. Фото — різні кадри,Z21,Далеко / розмито,З 2 метрів,"Помилка або «не впевнений», без фантастичного логу",,
Z3. Фото — різні кадри,Z22,Gallery зі старого фото,Фото вчорашнього обіду,"Аналіз ок, дата логу — сьогодні (поки не змінити в Add entry)",,
Z4. Голос — різні фрази,Z23,Одне слово,`яблуко`,Transcript → Analyze → продукт,,
Z4. Голос — різні фрази,Z24,Речення,`на обід з'їв пасту карбонара`,"Analyze розуміє страву; далі Add entry, meal можна поставити Lunch",,
Z4. Голос — різні фрази,Z25,Перелік,"`яйце, огірок і хліб`",Кілька інгредієнтів у результаті або комбо,,
Z4. Голос — різні фрази,Z26,Порція голосом,`двісті грам курки`,~200 г,,
Z4. Голос — різні фрази,Z27,UK голос,"Система UK, говорити українською",Transcript українською,,
Z4. Голос — різні фрази,Z28,Шум,Аналізувати в галасливій кімнаті,"Або норм, або помилка — не краш",,
Z4. Голос — різні фрази,Z29,Виправити transcript,"Наговорити «суп», руками змінити на «борщ» → Analyze",Результат борщ,,
Z5. Комбо методів за один прийом,Z30,Search + barcode в Snacks,Два Quick Log підряд,"Два рядки Snacks, сума ккал = сумі details",,
Z5. Комбо методів за один прийом,Z31,Фото + голос,"Спочатку фото в Snacks, потім голос",Два рядки,,
Z5. Комбо методів за один прийом,Z32,Чат + пошук,"X01 сніданок, потім Quick Log яблуко","Breakfast з чату, яблуко в Snacks",,
Z5. Комбо методів за один прийом,Z33,Edit meal докирити,Breakfast порожній → олівець → search яйце → ще search тост,Обидва в Breakfast,,
Z5. Комбо методів за один прийом,Z34,Змінити meal після фото,Фото → Add entry → Dinner → Add,"Dinner, не Snacks",,
Z5. Комбо методів за один прийом,Z35,Вчора з Add entry,Будь-який метод → Change date вчора,Сьогоднішні кільця без цього запису,,
AA. Edit meal AI — фрази в композері страви,AA01,Додати продукт,`додай рис`,"Новий рядок рис у цьому прийомі, Home ккал зросли",,
AA. Edit meal AI — фрази в композері страви,AA02,Додати з грамами,`додай 150 г рису`,Рис ~150 г,,
AA. Edit meal AI — фрази в композері страви,AA03,Додати напій,`додай каву 200 мл`,Рядок з мл,,
AA. Edit meal AI — фрази в композері страви,AA04,Видалити назву,`видали яйця` / `прибери яйця`,Рядка яєць немає (якщо модель зробила replace порожнім — нотувати; інакше delete вручну має працювати завжди),,
AA. Edit meal AI — фрази в композері страви,AA05,Замінити один,`заміни тост на цільнозерновий хліб`,"Тост зник, хліб є, авокадо на місці",,
AA. Edit meal AI — фрази в композері страви,AA06,Порція менша,`зроби авокадо 50 г`,"Ккал авокадо зменшились, інші рядки ті самі",,
AA. Edit meal AI — фрази в композері страви,AA07,Порція більша,`яйця на 300 г`,Ккал яєць зросли,,
